Start: Train Size=1071 | Test R2=-46.2685 | Test MAE=25.7569
Iteração 1294: Adicionadas 5 amostras | Incerteza Média Batch: 0.8938 | Test R2: 0.1707 | Test MAE: 2.7310
Iteração 1295: Adicionadas 5 amostras | Incerteza Média Batch: 0.8975 | Test R2: 0.1839 | Test MAE: 2.7133
Iteração 1296: Adicionadas 5 amostras | Incerteza Média Batch: 0.9262 | Test R2: 0.1963 | Test MAE: 2.6984
Iteração 1297: Adicionadas 5 amostras | Incerteza Média Batch: 0.9322 | Test R2: 0.2158 | Test MAE: 2.6740
Iteração 1298: Adicionadas 5 amostras | Incerteza Média Batch: 0.9670 | Test R2: 0.2370 | Test MAE: 2.6483
Iteração 1299: Adicionadas 5 amostras | Incerteza Média Batch: 0.9737 | Test R2: 0.2572 | Test MAE: 2.6267
Iteração 1300: Adicionadas 5 amostras | Incerteza Média Batch: 0.9700 | Test R2: 0.2710 | Test MAE: 2.6197
Iteração 1301: Adicionadas 5 amostras | Incerteza Média Batch: 0.9779 | Test R2: 0.2752 | Test MAE: 2.6333
Iteração 1302: Adicionadas 5 amostras | Incerteza Média Batch: 0.9816 | Test R2: 0.2671 | Test MAE: 2.6702
Iteração 1303: Adicionadas 5 amostras | Incerteza Média Batch: 0.9560 | Test R2: 0.2490 | Test MAE: 2.7243
Iteração 1304: Adicionadas 5 amostras | Incerteza Média Batch: 0.8968 | Test R2: 0.2283 | Test MAE: 2.7784
Iteração 1305: Adicionadas 5 amostras | Incerteza Média Batch: 0.8684 | Test R2: 0.2070 | Test MAE: 2.8303
Iteração 1306: Adicionadas 5 amostras | Incerteza Média Batch: 0.8668 | Test R2: 0.1892 | Test MAE: 2.8728
Iteração 1307: Adicionadas 5 amostras | Incerteza Média Batch: 0.8532 | Test R2: 0.1769 | Test MAE: 2.9015
Iteração 1308: Adicionadas 5 amostras | Incerteza Média Batch: 0.8614 | Test R2: 0.1653 | Test MAE: 2.9277
Iteração 1309: Adicionadas 5 amostras | Incerteza Média Batch: 0.8499 | Test R2: 0.1584 | Test MAE: 2.9437
Iteração 1310: Adicionadas 5 amostras | Incerteza Média Batch: 0.8374 | Test R2: 0.1563 | Test MAE: 2.9483
Iteração 1311: Adicionadas 5 amostras | Incerteza Média Batch: 0.8333 | Test R2: 0.1595 | Test MAE: 2.9412
Iteração 1312: Adicionadas 5 amostras | Incerteza Média Batch: 0.8339 | Test R2: 0.1674 | Test MAE: 2.9238
Iteração 1313: Adicionadas 5 amostras | Incerteza Média Batch: 0.8355 | Test R2: 0.1841 | Test MAE: 2.8865
Iteração 1314: Adicionadas 5 amostras | Incerteza Média Batch: 0.8581 | Test R2: 0.2075 | Test MAE: 2.8336
Iteração 1315: Adicionadas 5 amostras | Incerteza Média Batch: 0.8539 | Test R2: 0.2333 | Test MAE: 2.7726
Iteração 1316: Adicionadas 5 amostras | Incerteza Média Batch: 0.8717 | Test R2: 0.2605 | Test MAE: 2.7046
Iteração 1317: Adicionadas 5 amostras | Incerteza Média Batch: 0.8782 | Test R2: 0.2847 | Test MAE: 2.6384
Iteração 1318: Adicionadas 5 amostras | Incerteza Média Batch: 0.9262 | Test R2: 0.2998 | Test MAE: 2.5908
Iteração 1319: Adicionadas 5 amostras | Incerteza Média Batch: 0.8788 | Test R2: 0.2991 | Test MAE: 2.5765
Iteração 1320: Adicionadas 5 amostras | Incerteza Média Batch: 0.8696 | Test R2: 0.2895 | Test MAE: 2.5827
Iteração 1321: Adicionadas 5 amostras | Incerteza Média Batch: 0.8974 | Test R2: 0.2762 | Test MAE: 2.6003
Iteração 1322: Adicionadas 5 amostras | Incerteza Média Batch: 0.9084 | Test R2: 0.2602 | Test MAE: 2.6238
Iteração 1323: Adicionadas 5 amostras | Incerteza Média Batch: 0.9215 | Test R2: 0.2491 | Test MAE: 2.6415
Iteração 1324: Adicionadas 5 amostras | Incerteza Média Batch: 0.9381 | Test R2: 0.2515 | Test MAE: 2.6322
Iteração 1325: Adicionadas 5 amostras | Incerteza Média Batch: 0.9555 | Test R2: 0.2558 | Test MAE: 2.6220
Iteração 1326: Adicionadas 5 amostras | Incerteza Média Batch: 0.9707 | Test R2: 0.2644 | Test MAE: 2.6089
Iteração 1327: Adicionadas 5 amostras | Incerteza Média Batch: 0.9985 | Test R2: 0.2721 | Test MAE: 2.5983
Iteração 1328: Adicionadas 5 amostras | Incerteza Média Batch: 0.9936 | Test R2: 0.2806 | Test MAE: 2.5897
Iteração 1329: Adicionadas 5 amostras | Incerteza Média Batch: 1.0379 | Test R2: 0.2884 | Test MAE: 2.5881
Iteração 1330: Adicionadas 5 amostras | Incerteza Média Batch: 1.1080 | Test R2: 0.2906 | Test MAE: 2.6019
Iteração 1331: Adicionadas 5 amostras | Incerteza Média Batch: 1.1501 | Test R2: 0.2820 | Test MAE: 2.6417
Iteração 1332: Adicionadas 5 amostras | Incerteza Média Batch: 1.2335 | Test R2: 0.2599 | Test MAE: 2.7083
Iteração 1333: Adicionadas 5 amostras | Incerteza Média Batch: 1.2381 | Test R2: 0.2284 | Test MAE: 2.7908
Iteração 1334: Adicionadas 5 amostras | Incerteza Média Batch: 1.0155 | Test R2: 0.1900 | Test MAE: 2.8826
Iteração 1335: Adicionadas 5 amostras | Incerteza Média Batch: 0.9989 | Test R2: 0.1471 | Test MAE: 2.9775
Iteração 1336: Adicionadas 5 amostras | Incerteza Média Batch: 1.0072 | Test R2: 0.1031 | Test MAE: 3.0686
Iteração 1337: Adicionadas 5 amostras | Incerteza Média Batch: 1.0497 | Test R2: 0.0758 | Test MAE: 3.1228
Iteração 1338: Adicionadas 5 amostras | Incerteza Média Batch: 1.1613 | Test R2: 0.0642 | Test MAE: 3.1456
Iteração 1339: Adicionadas 5 amostras | Incerteza Média Batch: 1.2623 | Test R2: 0.0704 | Test MAE: 3.1347
Iteração 1340: Adicionadas 5 amostras | Incerteza Média Batch: 1.4038 | Test R2: 0.0904 | Test MAE: 3.0974
Iteração 1341: Adicionadas 5 amostras | Incerteza Média Batch: 1.5432 | Test R2: 0.1173 | Test MAE: 3.0453
Iteração 1342: Adicionadas 5 amostras | Incerteza Média Batch: 1.5887 | Test R2: 0.1536 | Test MAE: 2.9719
Iteração 1343: Adicionadas 5 amostras | Incerteza Média Batch: 1.6805 | Test R2: 0.1908 | Test MAE: 2.8920
Iteração 1344: Adicionadas 5 amostras | Incerteza Média Batch: 1.7025 | Test R2: 0.2237 | Test MAE: 2.8176
Iteração 1345: Adicionadas 5 amostras | Incerteza Média Batch: 1.6080 | Test R2: 0.2552 | Test MAE: 2.7404
Iteração 1346: Adicionadas 5 amostras | Incerteza Média Batch: 1.5357 | Test R2: 0.2794 | Test MAE: 2.6735
Iteração 1347: Adicionadas 5 amostras | Incerteza Média Batch: 1.3556 | Test R2: 0.2947 | Test MAE: 2.6224
Iteração 1348: Adicionadas 5 amostras | Incerteza Média Batch: 1.1936 | Test R2: 0.2999 | Test MAE: 2.5913
Iteração 1349: Adicionadas 5 amostras | Incerteza Média Batch: 1.0964 | Test R2: 0.2997 | Test MAE: 2.5742
Iteração 1350: Adicionadas 5 amostras | Incerteza Média Batch: 1.0610 | Test R2: 0.2924 | Test MAE: 2.5757
Iteração 1351: Adicionadas 5 amostras | Incerteza Média Batch: 1.0929 | Test R2: 0.2817 | Test MAE: 2.5869
Iteração 1352: Adicionadas 5 amostras | Incerteza Média Batch: 1.1268 | Test R2: 0.2778 | Test MAE: 2.5928
Iteração 1353: Adicionadas 5 amostras | Incerteza Média Batch: 1.2165 | Test R2: 0.2818 | Test MAE: 2.5894
Iteração 1354: Adicionadas 5 amostras | Incerteza Média Batch: 1.4048 | Test R2: 0.2919 | Test MAE: 2.5795
Iteração 1355: Adicionadas 5 amostras | Incerteza Média Batch: 1.5667 | Test R2: 0.3034 | Test MAE: 2.5709
Iteração 1356: Adicionadas 5 amostras | Incerteza Média Batch: 1.7595 | Test R2: 0.3095 | Test MAE: 2.5747
Iteração 1357: Adicionadas 5 amostras | Incerteza Média Batch: 1.7588 | Test R2: 0.3079 | Test MAE: 2.5977
Iteração 1358: Adicionadas 5 amostras | Incerteza Média Batch: 1.7257 | Test R2: 0.2981 | Test MAE: 2.6350
Iteração 1359: Adicionadas 5 amostras | Incerteza Média Batch: 1.5481 | Test R2: 0.2815 | Test MAE: 2.6867
Iteração 1360: Adicionadas 5 amostras | Incerteza Média Batch: 1.2849 | Test R2: 0.2555 | Test MAE: 2.7576
Iteração 1361: Adicionadas 5 amostras | Incerteza Média Batch: 1.0571 | Test R2: 0.2282 | Test MAE: 2.8265
Iteração 1362: Adicionadas 5 amostras | Incerteza Média Batch: 0.9485 | Test R2: 0.2043 | Test MAE: 2.8820
Iteração 1363: Adicionadas 5 amostras | Incerteza Média Batch: 0.9827 | Test R2: 0.1928 | Test MAE: 2.9080
Iteração 1364: Adicionadas 5 amostras | Incerteza Média Batch: 1.1285 | Test R2: 0.1931 | Test MAE: 2.9071
Iteração 1365: Adicionadas 5 amostras | Incerteza Média Batch: 1.2970 | Test R2: 0.2063 | Test MAE: 2.8771
Iteração 1366: Adicionadas 5 amostras | Incerteza Média Batch: 1.4931 | Test R2: 0.2264 | Test MAE: 2.8301
Iteração 1367: Adicionadas 5 amostras | Incerteza Média Batch: 1.6200 | Test R2: 0.2488 | Test MAE: 2.7757
Iteração 1368: Adicionadas 5 amostras | Incerteza Média Batch: 1.6120 | Test R2: 0.2712 | Test MAE: 2.7187
Iteração 1369: Adicionadas 5 amostras | Incerteza Média Batch: 1.5649 | Test R2: 0.2867 | Test MAE: 2.6780
Iteração 1370: Adicionadas 5 amostras | Incerteza Média Batch: 1.3643 | Test R2: 0.3040 | Test MAE: 2.6299
Iteração 1371: Adicionadas 5 amostras | Incerteza Média Batch: 1.1907 | Test R2: 0.3222 | Test MAE: 2.5783
Iteração 1372: Adicionadas 5 amostras | Incerteza Média Batch: 1.0706 | Test R2: 0.3354 | Test MAE: 2.5401
Iteração 1373: Adicionadas 5 amostras | Incerteza Média Batch: 0.9665 | Test R2: 0.3464 | Test MAE: 2.5056
Iteração 1374: Adicionadas 5 amostras | Incerteza Média Batch: 0.9659 | Test R2: 0.3538 | Test MAE: 2.4819
Iteração 1375: Adicionadas 5 amostras | Incerteza Média Batch: 1.0238 | Test R2: 0.3584 | Test MAE: 2.4677
Iteração 1376: Adicionadas 5 amostras | Incerteza Média Batch: 1.1040 | Test R2: 0.3599 | Test MAE: 2.4673
Iteração 1377: Adicionadas 5 amostras | Incerteza Média Batch: 1.1509 | Test R2: 0.3596 | Test MAE: 2.4749
Iteração 1378: Adicionadas 5 amostras | Incerteza Média Batch: 1.1935 | Test R2: 0.3561 | Test MAE: 2.4917
Iteração 1379: Adicionadas 5 amostras | Incerteza Média Batch: 1.1892 | Test R2: 0.3457 | Test MAE: 2.5263
Iteração 1380: Adicionadas 5 amostras | Incerteza Média Batch: 1.1310 | Test R2: 0.3268 | Test MAE: 2.5821
Iteração 1381: Adicionadas 5 amostras | Incerteza Média Batch: 1.0972 | Test R2: 0.2986 | Test MAE: 2.6580
Iteração 1382: Adicionadas 5 amostras | Incerteza Média Batch: 1.0391 | Test R2: 0.2662 | Test MAE: 2.7390
Iteração 1383: Adicionadas 5 amostras | Incerteza Média Batch: 0.9890 | Test R2: 0.2294 | Test MAE: 2.8280
Iteração 1384: Adicionadas 5 amostras | Incerteza Média Batch: 0.9509 | Test R2: 0.1914 | Test MAE: 2.9155
Iteração 1385: Adicionadas 5 amostras | Incerteza Média Batch: 0.9237 | Test R2: 0.1583 | Test MAE: 2.9874
Iteração 1386: Adicionadas 5 amostras | Incerteza Média Batch: 0.8805 | Test R2: 0.1329 | Test MAE: 3.0414
Iteração 1387: Adicionadas 5 amostras | Incerteza Média Batch: 0.9088 | Test R2: 0.1224 | Test MAE: 3.0643
Iteração 1388: Adicionadas 5 amostras | Incerteza Média Batch: 0.9646 | Test R2: 0.1239 | Test MAE: 3.0626
Iteração 1389: Adicionadas 5 amostras | Incerteza Média Batch: 1.0230 | Test R2: 0.1410 | Test MAE: 3.0293
Iteração 1390: Adicionadas 5 amostras | Incerteza Média Batch: 1.1146 | Test R2: 0.1641 | Test MAE: 2.9828
Iteração 1391: Adicionadas 5 amostras | Incerteza Média Batch: 1.2222 | Test R2: 0.1943 | Test MAE: 2.9196
Iteração 1392: Adicionadas 5 amostras | Incerteza Média Batch: 1.2638 | Test R2: 0.2327 | Test MAE: 2.8355
Iteração 1393: Adicionadas 5 amostras | Incerteza Média Batch: 1.3348 | Test R2: 0.2731 | Test MAE: 2.7420
Iteração 1394: Adicionadas 5 amostras | Incerteza Média Batch: 1.3894 | Test R2: 0.3109 | Test MAE: 2.6485
Iteração 1395: Adicionadas 5 amostras | Incerteza Média Batch: 1.3725 | Test R2: 0.3407 | Test MAE: 2.5695
Iteração 1396: Adicionadas 5 amostras | Incerteza Média Batch: 1.3381 | Test R2: 0.3607 | Test MAE: 2.5116
Iteração 1397: Adicionadas 5 amostras | Incerteza Média Batch: 1.2014 | Test R2: 0.3715 | Test MAE: 2.4758
Iteração 1398: Adicionadas 5 amostras | Incerteza Média Batch: 1.0560 | Test R2: 0.3762 | Test MAE: 2.4559
Iteração 1399: Adicionadas 5 amostras | Incerteza Média Batch: 0.9852 | Test R2: 0.3785 | Test MAE: 2.4408
Iteração 1400: Adicionadas 5 amostras | Incerteza Média Batch: 0.9575 | Test R2: 0.3791 | Test MAE: 2.4311
Iteração 1401: Adicionadas 5 amostras | Incerteza Média Batch: 0.9289 | Test R2: 0.3789 | Test MAE: 2.4252
Iteração 1402: Adicionadas 5 amostras | Incerteza Média Batch: 0.9475 | Test R2: 0.3774 | Test MAE: 2.4263
Iteração 1403: Adicionadas 5 amostras | Incerteza Média Batch: 0.9617 | Test R2: 0.3754 | Test MAE: 2.4341
Iteração 1404: Adicionadas 5 amostras | Incerteza Média Batch: 0.9884 | Test R2: 0.3718 | Test MAE: 2.4484
Iteração 1405: Adicionadas 5 amostras | Incerteza Média Batch: 0.9713 | Test R2: 0.3686 | Test MAE: 2.4592
Iteração 1406: Adicionadas 5 amostras | Incerteza Média Batch: 0.9758 | Test R2: 0.3654 | Test MAE: 2.4693
Iteração 1407: Adicionadas 5 amostras | Incerteza Média Batch: 0.9352 | Test R2: 0.3610 | Test MAE: 2.4830
Iteração 1408: Adicionadas 5 amostras | Incerteza Média Batch: 0.9123 | Test R2: 0.3543 | Test MAE: 2.5034
Iteração 1409: Adicionadas 5 amostras | Incerteza Média Batch: 0.8840 | Test R2: 0.3490 | Test MAE: 2.5186
Iteração 1410: Adicionadas 5 amostras | Incerteza Média Batch: 0.8623 | Test R2: 0.3452 | Test MAE: 2.5293
Iteração 1411: Adicionadas 5 amostras | Incerteza Média Batch: 0.8702 | Test R2: 0.3423 | Test MAE: 2.5366
Iteração 1412: Adicionadas 5 amostras | Incerteza Média Batch: 0.8686 | Test R2: 0.3415 | Test MAE: 2.5374
Iteração 1413: Adicionadas 5 amostras | Incerteza Média Batch: 0.8733 | Test R2: 0.3396 | Test MAE: 2.5408
Iteração 1414: Adicionadas 5 amostras | Incerteza Média Batch: 0.8746 | Test R2: 0.3354 | Test MAE: 2.5505
Iteração 1415: Adicionadas 5 amostras | Incerteza Média Batch: 0.8505 | Test R2: 0.3293 | Test MAE: 2.5663
Iteração 1416: Adicionadas 5 amostras | Incerteza Média Batch: 0.8530 | Test R2: 0.3191 | Test MAE: 2.5932
Iteração 1417: Adicionadas 5 amostras | Incerteza Média Batch: 0.8255 | Test R2: 0.3118 | Test MAE: 2.6087
Iteração 1418: Adicionadas 5 amostras | Incerteza Média Batch: 0.8277 | Test R2: 0.3088 | Test MAE: 2.6130
Iteração 1419: Adicionadas 5 amostras | Incerteza Média Batch: 0.8300 | Test R2: 0.3065 | Test MAE: 2.6137
Iteração 1420: Adicionadas 5 amostras | Incerteza Média Batch: 0.8339 | Test R2: 0.3064 | Test MAE: 2.6069
Iteração 1421: Adicionadas 5 amostras | Incerteza Média Batch: 0.8573 | Test R2: 0.3090 | Test MAE: 2.5939
Iteração 1422: Adicionadas 5 amostras | Incerteza Média Batch: 0.8805 | Test R2: 0.3119 | Test MAE: 2.5809
Iteração 1423: Adicionadas 5 amostras | Incerteza Média Batch: 0.9119 | Test R2: 0.3161 | Test MAE: 2.5638
Iteração 1424: Adicionadas 5 amostras | Incerteza Média Batch: 0.9070 | Test R2: 0.3192 | Test MAE: 2.5484
Iteração 1425: Adicionadas 5 amostras | Incerteza Média Batch: 0.9107 | Test R2: 0.3203 | Test MAE: 2.5437
Iteração 1426: Adicionadas 5 amostras | Incerteza Média Batch: 0.9345 | Test R2: 0.3217 | Test MAE: 2.5436
Iteração 1427: Adicionadas 5 amostras | Incerteza Média Batch: 0.9830 | Test R2: 0.3214 | Test MAE: 2.5532
Iteração 1428: Adicionadas 5 amostras | Incerteza Média Batch: 1.0921 | Test R2: 0.3160 | Test MAE: 2.5802
Iteração 1429: Adicionadas 5 amostras | Incerteza Média Batch: 1.2023 | Test R2: 0.3010 | Test MAE: 2.6326
Iteração 1430: Adicionadas 5 amostras | Incerteza Média Batch: 1.3007 | Test R2: 0.2756 | Test MAE: 2.7078
Iteração 1431: Adicionadas 5 amostras | Incerteza Média Batch: 1.2385 | Test R2: 0.2444 | Test MAE: 2.7897
Iteração 1432: Adicionadas 5 amostras | Incerteza Média Batch: 1.0580 | Test R2: 0.2177 | Test MAE: 2.8551
Iteração 1433: Adicionadas 5 amostras | Incerteza Média Batch: 0.9947 | Test R2: 0.1898 | Test MAE: 2.9195
Iteração 1434: Adicionadas 5 amostras | Incerteza Média Batch: 0.9543 | Test R2: 0.1593 | Test MAE: 2.9867
Iteração 1435: Adicionadas 5 amostras | Incerteza Média Batch: 1.0105 | Test R2: 0.1391 | Test MAE: 3.0292
Iteração 1436: Adicionadas 5 amostras | Incerteza Média Batch: 1.0442 | Test R2: 0.1334 | Test MAE: 3.0403
Iteração 1437: Adicionadas 5 amostras | Incerteza Média Batch: 1.1510 | Test R2: 0.1418 | Test MAE: 3.0224
Iteração 1438: Adicionadas 5 amostras | Incerteza Média Batch: 1.2930 | Test R2: 0.1609 | Test MAE: 2.9813
Iteração 1439: Adicionadas 5 amostras | Incerteza Média Batch: 1.3993 | Test R2: 0.1889 | Test MAE: 2.9186
Iteração 1440: Adicionadas 5 amostras | Incerteza Média Batch: 1.5407 | Test R2: 0.2183 | Test MAE: 2.8490
Iteração 1441: Adicionadas 5 amostras | Incerteza Média Batch: 1.6287 | Test R2: 0.2462 | Test MAE: 2.7775
Iteração 1442: Adicionadas 5 amostras | Incerteza Média Batch: 1.6582 | Test R2: 0.2728 | Test MAE: 2.7006
Iteração 1443: Adicionadas 5 amostras | Incerteza Média Batch: 1.7550 | Test R2: 0.2925 | Test MAE: 2.6314
Iteração 1444: Adicionadas 5 amostras | Incerteza Média Batch: 1.9203 | Test R2: 0.2991 | Test MAE: 2.5875
Iteração 1445: Adicionadas 5 amostras | Incerteza Média Batch: 1.9925 | Test R2: 0.2917 | Test MAE: 2.5775
Iteração 1446: Adicionadas 5 amostras | Incerteza Média Batch: 1.7860 | Test R2: 0.2751 | Test MAE: 2.5943
Iteração 1447: Adicionadas 5 amostras | Incerteza Média Batch: 1.5536 | Test R2: 0.2573 | Test MAE: 2.6203
Iteração 1448: Adicionadas 5 amostras | Incerteza Média Batch: 1.5240 | Test R2: 0.2453 | Test MAE: 2.6393
Iteração 1449: Adicionadas 5 amostras | Incerteza Média Batch: 1.3891 | Test R2: 0.2380 | Test MAE: 2.6537
Iteração 1450: Adicionadas 5 amostras | Incerteza Média Batch: 1.3912 | Test R2: 0.2399 | Test MAE: 2.6552
Iteração 1451: Adicionadas 5 amostras | Incerteza Média Batch: 1.5464 | Test R2: 0.2518 | Test MAE: 2.6411
Iteração 1452: Adicionadas 5 amostras | Incerteza Média Batch: 1.7380 | Test R2: 0.2699 | Test MAE: 2.6175
Iteração 1453: Adicionadas 5 amostras | Incerteza Média Batch: 1.9300 | Test R2: 0.2891 | Test MAE: 2.5948
Iteração 1454: Adicionadas 5 amostras | Incerteza Média Batch: 2.1735 | Test R2: 0.3017 | Test MAE: 2.5872
Iteração 1455: Adicionadas 5 amostras | Incerteza Média Batch: 2.2665 | Test R2: 0.3039 | Test MAE: 2.6045
Iteração 1456: Adicionadas 5 amostras | Incerteza Média Batch: 2.2587 | Test R2: 0.2929 | Test MAE: 2.6531
Iteração 1457: Adicionadas 5 amostras | Incerteza Média Batch: 2.1584 | Test R2: 0.2688 | Test MAE: 2.7304
Iteração 1458: Adicionadas 5 amostras | Incerteza Média Batch: 1.9456 | Test R2: 0.2335 | Test MAE: 2.8282
Iteração 1459: Adicionadas 5 amostras | Incerteza Média Batch: 1.6695 | Test R2: 0.1937 | Test MAE: 2.9288
Iteração 1460: Adicionadas 5 amostras | Incerteza Média Batch: 1.4510 | Test R2: 0.1543 | Test MAE: 3.0187
Iteração 1461: Adicionadas 5 amostras | Incerteza Média Batch: 1.3851 | Test R2: 0.1157 | Test MAE: 3.1002
Iteração 1462: Adicionadas 5 amostras | Incerteza Média Batch: 1.2284 | Test R2: 0.0766 | Test MAE: 3.1805
Iteração 1463: Adicionadas 5 amostras | Incerteza Média Batch: 1.0201 | Test R2: 0.0424 | Test MAE: 3.2464
Iteração 1464: Adicionadas 5 amostras | Incerteza Média Batch: 1.0515 | Test R2: 0.0203 | Test MAE: 3.2869
Iteração 1465: Adicionadas 5 amostras | Incerteza Média Batch: 1.1346 | Test R2: 0.0095 | Test MAE: 3.3050
Iteração 1466: Adicionadas 5 amostras | Incerteza Média Batch: 1.2439 | Test R2: 0.0159 | Test MAE: 3.2913
Iteração 1467: Adicionadas 5 amostras | Incerteza Média Batch: 1.3701 | Test R2: 0.0288 | Test MAE: 3.2662
Iteração 1468: Adicionadas 5 amostras | Incerteza Média Batch: 1.4619 | Test R2: 0.0475 | Test MAE: 3.2289
Iteração 1469: Adicionadas 5 amostras | Incerteza Média Batch: 1.5122 | Test R2: 0.0624 | Test MAE: 3.1966
Iteração 1470: Adicionadas 5 amostras | Incerteza Média Batch: 1.5335 | Test R2: 0.0793 | Test MAE: 3.1596
Iteração 1471: Adicionadas 5 amostras | Incerteza Média Batch: 1.5545 | Test R2: 0.1035 | Test MAE: 3.1082
Iteração 1472: Adicionadas 5 amostras | Incerteza Média Batch: 1.5186 | Test R2: 0.1330 | Test MAE: 3.0457
Iteração 1473: Adicionadas 5 amostras | Incerteza Média Batch: 1.4660 | Test R2: 0.1746 | Test MAE: 2.9574
Iteração 1474: Adicionadas 5 amostras | Incerteza Média Batch: 1.4537 | Test R2: 0.2218 | Test MAE: 2.8547
Iteração 1475: Adicionadas 5 amostras | Incerteza Média Batch: 1.4687 | Test R2: 0.2677 | Test MAE: 2.7507
Iteração 1476: Adicionadas 5 amostras | Incerteza Média Batch: 1.4030 | Test R2: 0.3045 | Test MAE: 2.6643
Iteração 1477: Adicionadas 5 amostras | Incerteza Média Batch: 1.3404 | Test R2: 0.3348 | Test MAE: 2.5892
Iteração 1478: Adicionadas 5 amostras | Incerteza Média Batch: 1.3180 | Test R2: 0.3565 | Test MAE: 2.5349
Iteração 1479: Adicionadas 5 amostras | Incerteza Média Batch: 1.1929 | Test R2: 0.3714 | Test MAE: 2.4981
Iteração 1480: Adicionadas 5 amostras | Incerteza Média Batch: 1.1178 | Test R2: 0.3821 | Test MAE: 2.4721
Iteração 1481: Adicionadas 5 amostras | Incerteza Média Batch: 1.0392 | Test R2: 0.3878 | Test MAE: 2.4585
Iteração 1482: Adicionadas 5 amostras | Incerteza Média Batch: 1.0209 | Test R2: 0.3936 | Test MAE: 2.4435
Iteração 1483: Adicionadas 5 amostras | Incerteza Média Batch: 1.0585 | Test R2: 0.3955 | Test MAE: 2.4401
Iteração 1484: Adicionadas 5 amostras | Incerteza Média Batch: 1.0356 | Test R2: 0.3937 | Test MAE: 2.4475
Iteração 1485: Adicionadas 5 amostras | Incerteza Média Batch: 1.0289 | Test R2: 0.3854 | Test MAE: 2.4731
Iteração 1486: Adicionadas 5 amostras | Incerteza Média Batch: 1.0456 | Test R2: 0.3835 | Test MAE: 2.4789
Iteração 1487: Adicionadas 5 amostras | Incerteza Média Batch: 1.0511 | Test R2: 0.3853 | Test MAE: 2.4736
Iteração 1488: Adicionadas 5 amostras | Incerteza Média Batch: 1.0572 | Test R2: 0.3920 | Test MAE: 2.4531
Iteração 1489: Adicionadas 5 amostras | Incerteza Média Batch: 1.0589 | Test R2: 0.3996 | Test MAE: 2.4291
Iteração 1490: Adicionadas 5 amostras | Incerteza Média Batch: 1.0352 | Test R2: 0.4100 | Test MAE: 2.3955
Iteração 1491: Adicionadas 5 amostras | Incerteza Média Batch: 0.9891 | Test R2: 0.4147 | Test MAE: 2.3809
Iteração 1492: Adicionadas 5 amostras | Incerteza Média Batch: 0.9577 | Test R2: 0.4179 | Test MAE: 2.3711
Iteração 1493: Adicionadas 5 amostras | Incerteza Média Batch: 0.9577 | Test R2: 0.4203 | Test MAE: 2.3656
Iteração 1494: Adicionadas 5 amostras | Incerteza Média Batch: 0.9346 | Test R2: 0.4231 | Test MAE: 2.3582
Iteração 1495: Adicionadas 5 amostras | Incerteza Média Batch: 0.9047 | Test R2: 0.4219 | Test MAE: 2.3628
Iteração 1496: Adicionadas 5 amostras | Incerteza Média Batch: 0.8906 | Test R2: 0.4185 | Test MAE: 2.3736
Iteração 1497: Adicionadas 5 amostras | Incerteza Média Batch: 0.8754 | Test R2: 0.4178 | Test MAE: 2.3759
Iteração 1498: Adicionadas 5 amostras | Incerteza Média Batch: 0.8711 | Test R2: 0.4134 | Test MAE: 2.3896
Iteração 1499: Adicionadas 5 amostras | Incerteza Média Batch: 0.8796 | Test R2: 0.4046 | Test MAE: 2.4172
Iteração 1500: Adicionadas 5 amostras | Incerteza Média Batch: 0.8877 | Test R2: 0.3858 | Test MAE: 2.4732
Iteração 1501: Adicionadas 5 amostras | Incerteza Média Batch: 0.9049 | Test R2: 0.3554 | Test MAE: 2.5597
Iteração 1502: Adicionadas 5 amostras | Incerteza Média Batch: 0.9043 | Test R2: 0.3089 | Test MAE: 2.6868
Iteração 1503: Adicionadas 5 amostras | Incerteza Média Batch: 0.8845 | Test R2: 0.2584 | Test MAE: 2.8176
Iteração 1504: Adicionadas 5 amostras | Incerteza Média Batch: 0.8678 | Test R2: 0.2066 | Test MAE: 2.9467
Iteração 1505: Adicionadas 5 amostras | Incerteza Média Batch: 0.8439 | Test R2: 0.1668 | Test MAE: 3.0421
Iteração 1506: Adicionadas 5 amostras | Incerteza Média Batch: 0.8483 | Test R2: 0.1375 | Test MAE: 3.1092
Iteração 1507: Adicionadas 5 amostras | Incerteza Média Batch: 0.8515 | Test R2: 0.1216 | Test MAE: 3.1424
Iteração 1508: Adicionadas 5 amostras | Incerteza Média Batch: 0.8597 | Test R2: 0.1164 | Test MAE: 3.1484
Iteração 1509: Adicionadas 5 amostras | Incerteza Média Batch: 0.9038 | Test R2: 0.1129 | Test MAE: 3.1486
Iteração 1510: Adicionadas 5 amostras | Incerteza Média Batch: 0.8769 | Test R2: 0.1160 | Test MAE: 3.1326
Iteração 1511: Adicionadas 5 amostras | Incerteza Média Batch: 0.8574 | Test R2: 0.1284 | Test MAE: 3.0974
Iteração 1512: Adicionadas 5 amostras | Incerteza Média Batch: 0.8506 | Test R2: 0.1350 | Test MAE: 3.0763
Iteração 1513: Adicionadas 5 amostras | Incerteza Média Batch: 0.8309 | Test R2: 0.1517 | Test MAE: 3.0358
Iteração 1514: Adicionadas 5 amostras | Incerteza Média Batch: 0.8378 | Test R2: 0.1802 | Test MAE: 2.9697
